id	highest_gem
04q3VppIQEET5rzy	6
07xF9Q0K1t3ist7K	8
0JbYcELIqpMPvAHk	1
0Ki5X2aXeT39ibBA	7
0Nf4VEOSVFUp6D6z	4
0SB7NAI7mNnsVKrn	8
0SZzDlqkVto82lT8	8
0aXjQyzzLGf1xxdI	7
0d32mc0rFIgiPh0B	8
0emorkz0h9NO6xRu	5
0f5VsyaVnlGiaFKU	2
15g1SpZosm7i32HW	7
15ukFL1GV2TKixoZ	2
17otFPiJfEVHYhNU	5
196Z4q3bdcnRx7jH	5
1BrUaaI5VKnlHgbN	2
1NmthD0bJAk8r1ZC	8
1PMNW9sRMoFJVfU3	2
1kWmNNWbD4Q5uRkE	5
2Ow0RJHAUNUBDwIq	2
2RgPyroR10XSHhEt	4
2XE25xNPvSdQc1KM	4
2gqKySsAFY3kdXLk	8
2mzlldXgCYcvYcg7	5
2ui8NNzOWhlNpS7U	2
2vrFNtkehUpwvznc	7
3NyBdzSH2FNfF6i9	2
3TG5SdE73K5IBVJY	2
3UFxCVoSnloP3QDZ	7
3XjZWZ3sqHQotnyS	2
3jqqz7EyI0qLJTc7	2
3lQtWsLZCMwLn5po	8
4DusN2UpFsf0HbZN	7
4hhx6vWu7kA2raej	5
57ZNe8XJK3OChc2H	2
5KAnWG2JzhbMHJ8j	8
5yuxfTfS1IQorM5r	8
6aKbiXwwBszPw6HM	8
6g1xGcDHbrjySakf	5
6mq8p2klUYsLJkYa	1
6r3DTgponyf5sT0z	5
6sUE7Mf0a49mHeJr	8
7ADRv6FizTh4ZquP	8
7CfDGSgZDTWh9nZB	2
7EWtP3aZVARVNH9a	6
7LSy62i5IDFvwhwE	8
7NxXSo5Xly9ZHgyR	8
7bbCXbz5k2bdp6Kx	5
7gWyM9Ko2PjqsLNO	2
7gkQGwhCbk9ZR00R	8
7jXzjfZo4CxXQC32	7
7kVURZXnP9Qtb7Ib	5
8BjY1ZEA6OnEoUYk	5
8NpgHzy67BgzhH27	5
8R1mX8E5peiArLxA	5
8kNMyMRHqKNrFkUw	8
8xE82ySWCYSxN8TD	2
8zuOwzwVyem1cx2U	4
96FXP9g2jcL4ZwRU	5
99b6TPA8Tzw0DC5X	6
99xKXyCBKbCA5XsX	6
9CHzAeSHv9tWaIXW	2
9EERk7bPIn9HNBvE	5
9KG4pkPoiqoM30oG	2
9KjFjWG22dllYdi6	6
9UGopXjmS0XFuh9Y	2
9UO4G4pzAlpnfU3K	5
9WLmSwvkQVtSjTYs	4
9Xk45GXspEGt290c	8
9ZtfD8gBZXonrJKX	6
9fdbvjNodhEjD4ol	2
9kMKuDTPqjYB0JKq	6
9lgUgpQZk7FnYhEe	7
9rvoWUrdiqVQwBUB	5
A69Lf5nZp8CuvEs7	3
A6LUkXjb0VE7a4iB	2
A8HjTpDWAI08Q3WE	5
A9C2osj800F2RbEl	5
ABwvIfsLLaa97kJp	3
APda3TcQuchaKb0m	2
AhYFhuki4kduBRta	5
B5ygb3srIggavpZ5	7
BFuHxFVRHac4uShL	5
BXRQY0YEa4w5uked	8
BkvRhnEqbcLSBEI7	8
BqKlFG1qMlAj5Hoc	8
CJjLRi8WG5zvK5d6	7
CKAtQw5nvuzJzdkx	2
CYdHrESOLmlQjJ1F	6
CZzifWsCAXngbgYN	2
CfY18RtkO1nWmnGX	2
CmsmtpykCF4w97nF	5
CtF7XeIBraXHFVhK	5
DCqDz67morgaodUC	5
DKfqiNeEU6glhLtz	8
DMSPSXCv8UN5942f	5
DPof7vq7OM1UpaM5	8
DS6j4DJRKJDgXRXa	2
DaUPEeQDkn5u5tvv	7
DbUBlRwHnkru4mzy	8
Dj2bBw0OtLWkCVyO	4
Dpal7if8lDQd0DgD	2
Dvv43ANkwiTz5fN6	5
DzWDBar9R86wPKq1	4
EyBOuFDwiAPJCNgr	5
FDnPGRj95BakXOSj	5
FH6yMRmoBaMOZHEt	6
