user_id	recommended_items
[PAD]	ZxUdoS8JHZRp8mUB,nyiadiR65NY3v4Jk,TFHstvFz3BAFr5uL,705kXGZPOy0cBCDb,DI1kGRLaDIb5L4Vq,CvvGHfQdATkc46Mw,ofuF03vBR7COW3Jq,1NXzzLHjiNWJx7UZ,UraqwWMdNlu3WEnN,gQ9ce0TOzXtxfAhh
user_007XIjOr	VHlDw77EpQHbr399,b96WKRPEZcQvC69D,4g0JdsD03ZguB1Ko,w0g2sXVHkMs8yf7f,hYlmcniFu4AYNTsN,0ORX2bCMpR9I1YZd,1gEApUktf4hN25zC,pFc1uXJBgEKhQ1V1,LHETTZcSZLeaVOGh,LxpGP4Ys3MgvhqRZ
user_00Y0Uqn9	32m5suoC94ytD8Ed,8LgQbYbM6Vz2my0y,7Gsb7yKtAJNCvWez,vkOg9ZAiUgUT87k6,3shrACNQQ5eeQEAO,YwURIu6eZDCJyuEf,KnMItrBYhHFixzJT,6YdzDwnoQ34wZoyv,EQeRaQuzupJSeJYX,Pf7CTDMAqnLhbcY2
user_00c8xHqc	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,e8SzjFTY8PQsuSv9,FEI4yctSyeux0vOb,EBB7mUheKyVbv6OI,KKmk2QJLVj2Aqsjg
user_00qujrxB	4Y9CqyBbHtF7hO9b,AtsURyUaBSeixw5w,iOYfRZw9ZwTBmwGg,9e1IknMy0LthsGg0,l1LBGSY2s620v1uk,DMUeJKt0k1CXELjU,OG27J86mlmZgBeWO,sOmbjMVja8lKrPEw,t7OhRzA03tIE8V4P,p3tCKoHZ0FxSmDuC
user_00s56GJz	UEyEh9XErIyFq1IW,2WRdPOpokdV6lNra,lqHuc8oCAjXPZB1W,SaWKC1K1GAfoHhvY,tecomBGxtyBGnysy,zDzWt1gC7z3tw5O5,8xixxY5yadKZmZ2v,LF62kRB9xaAmSVgR,yxrSZFCA5PzBuNVf,v2lewt3ITvwRNJfC
user_019SS48x	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,e8SzjFTY8PQsuSv9,EBB7mUheKyVbv6OI,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,jznaBggs140GlHGH,KKmk2QJLVj2Aqsjg
user_01TB3qzT	LW80GVfhaoN9iOMz,hsQhkSSxsusT7gsG,32m5suoC94ytD8Ed,0247XD85scrr19o0,i2SQLyiiWksidE6r,iU2ozBmOTnR4hl69,vkOg9ZAiUgUT87k6,1WZsL8AW2Bl2XJAN,C21uBDnd24UYTIMX,xLfIc1W1z09zf31N
user_01iQLLO6	7RsKUySRmaNWlZia,0O2Gqrb8UsYZtahU,nQqLodZ9GtuTutwF,bxZGTBLEsEsBuhLu,Zs1WWi0DtnU4HhKI,8lAJMgx3OJaNUIji,cxm6gKOAoxO77YLP,EUZOOIDcvgoBLIV6,yjl4TOtGkKDXqIwY,A7Rs3GTZFquYexSF
user_01kaIjH9	tevzNFnNgxNCDflu,kp3hyNSqgNXW3FKi,BF9lmTvkN0R9aGE2,vNDtiRqzFXsopGLe,UGuhPtvhpJUMXbRt,NKVnSVy91YfJwMwP,WAvgLynWBp6nBGe4,hXJCm0EIcpGQBU91,5yRpLdB9DP8C80lL,zWrIHzWVF1mjb30U
